data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,avg_positive_polarity,shares
0,0,0,0,1,0,0.28792518,1200
0,0,0,0,1,0,0.28063187,4400
0,0,0,0,0,0,0.53,1400
0,1,0,0,0,0,0.4,18000
0,0,0,0,1,0,0.48102075,2900
0,1,0,0,0,0,0.3949495,1000
1,0,0,0,0,0,0.36443722,1500
0,0,0,0,1,0,0.42696238,2100
0,0,0,0,1,0,0.4116649,1100
0,0,0,0,0,1,0.27677274,2200
0,0,0,1,0,0,0.28060606,9000
0,0,0,0,1,0,0.36292207,1000
0,0,0,0,1,0,0.4768763,1500
0,0,0,0,1,0,0.33143228,1900
0,0,0,0,1,0,0.44686687,1600
0,0,0,0,0,0,0.3996337,1900
0,0,0,0,1,0,0.4223262,1600
0,0,0,0,0,0,0.5699074,3400
0,0,0,0,0,0,0.40627706,5600
0,0,0,0,0,1,0.35248327,2000
0,0,1,0,0,0,0.403125,909
0,0,1,0,0,0,0.21949036,636
0,1,0,0,0,0,0.40729666,1900
0,0,0,0,1,0,0.40099534,1700
0,0,0,0,1,0,0.23422559,1500
0,1,0,0,0,0,0.39761665,1700
0,0,0,0,0,0,0.38923076,1500
1,0,0,0,0,0,0.42396945,2600
0,0,0,1,0,0,0.3749129,4900
0,0,0,0,1,0,0.40412748,2700
1,0,0,0,0,0,0.33833334,498
0,0,0,0,1,0,0.35729167,1300
0,0,0,0,0,0,0.65,1300
0,0,1,0,0,0,0.3252066,811
0,0,1,0,0,0,0.26785713,498
0,0,0,0,1,0,0.37600866,2800
0,0,0,0,1,0,0.31113052,1200
0,0,0,0,1,0,0.37429655,1300
1,0,0,0,0,0,0.38142857,866
0,0,0,0,0,0,0.43064234,5000
0,1,0,0,0,0,0.35345572,1200
0,0,0,0,0,0,0.4694805,3200
1,0,0,0,0,0,0.3409091,442
0,0,0,0,1,0,0.4252715,5900
0,0,0,1,0,0,0.36488554,5400
0,0,0,1,0,0,0.32486472,3800
0,0,0,1,0,0,0.3739394,5500
0,0,1,0,0,0,0.33059442,1900
0,0,0,0,0,1,0.35714287,463
0,0,0,0,1,0,0.4279839,1300
0,0,0,1,0,0,0.4542503,1200
0,0,0,0,1,0,0.27332252,17100
0,1,0,0,0,0,0.462601,568
1,0,0,0,0,0,0.39509803,968
0,0,0,0,1,0,0.39382815,685
0,0,0,0,0,1,0.27351868,2000
1,0,0,0,0,0,0.35526314,902
0,0,0,0,1,0,0.32920456,1700
0,0,0,0,0,1,0.28484848,2600
0,0,0,0,0,1,0.37847403,757
0,0,1,0,0,0,0.31733334,1300
0,0,0,0,0,0,0.35555556,514
0,0,0,0,1,0,0.39119047,504
0,0,0,0,1,0,0.3520495,1400
0,0,1,0,0,0,0.3179855,1500
1,0,0,0,0,0,0.3866793,2500
0,0,0,1,0,0,0.41923076,1200
0,0,0,0,1,0,0.25167388,6400
0,0,0,0,0,1,0.31969696,1600
0,0,1,0,0,0,0.33147606,1300
0,0,1,0,0,0,0.3612963,2200
0,0,0,0,1,0,0.28473017,4100
0,0,0,1,0,0,0.32597402,1500
0,1,0,0,0,0,0.32512626,3400
0,0,0,0,1,0,0.25984848,554
0,0,0,0,0,1,0.30748686,712
0,1,0,0,0,0,0.36062077,438
0,0,0,1,0,0,0.56296295,51900
0,0,1,0,0,0,0.2952381,935
0,0,0,0,1,0,0.3109091,3000
0,0,0,0,0,1,0.3,917
1,0,0,0,0,0,0.409375,1200
0,0,0,0,0,1,0.37878788,2100
0,1,0,0,0,0,0.32083333,672
0,0,0,0,0,1,0.4532143,1100
0,0,0,0,0,0,0.4125,2400
1,0,0,0,0,0,0.331259,1300
0,0,0,1,0,0,0.3399471,2900
0,1,0,0,0,0,0.39304972,4200
1,0,0,0,0,0,0.33084416,2000
0,0,0,0,0,0,0.4281807,715
0,0,0,0,0,0,0.50844157,1900
0,0,1,0,0,0,0.3493663,592
0,0,0,0,0,0,0.42219514,1100
0,0,0,0,1,0,0.33397144,3500
0,0,0,0,1,0,0.21666667,2900
0,0,0,0,1,0,0.5388889,3400
0,0,1,0,0,0,0.24848485,771
0,0,1,0,0,0,0.41734692,1700
0,1,0,0,0,0,0.31704545,577
0,0,0,0,1,0,0.29629537,3300
0,0,0,0,1,0,0.353719,1300
0,0,0,0,1,0,0.45,3100
0,0,1,0,0,0,0.3570371,3600
0,0,0,1,0,0,0.455,1300
0,1,0,0,0,0,0.40250784,1200
0,0,1,0,0,0,0.29488635,2400
0,0,0,0,1,0,0.2556818,1500
0,0,1,0,0,0,0.31271964,721
0,0,0,0,0,1,0.42887205,1700
0,1,0,0,0,0,0.34745455,1800
0,0,0,0,0,0,0.4227273,930
0,0,0,0,1,0,0.39927018,1500
0,0,0,0,0,0,0.35738096,1200
0,0,1,0,0,0,0.16818182,2200
0,1,0,0,0,0,0.403154,1200
0,0,0,0,0,1,0,7700
0,0,1,0,0,0,0.38689655,3200
0,0,0,1,0,0,0.43839285,4200
0,0,0,0,1,0,0.36538962,1600
0,0,0,0,0,1,0.19318181,1300
0,0,1,0,0,0,0.4144017,5700
0,0,1,0,0,0,0.294951,2100
0,0,0,0,0,0,0.5,827
0,0,1,0,0,0,0.40692967,1100
0,0,0,0,0,1,0.30492425,1100
0,0,0,0,0,0,0.45703915,1000
0,0,0,1,0,0,0.42700216,1900
0,0,1,0,0,0,0.30000678,1100
0,0,0,0,1,0,0.29722223,3700
1,0,0,0,0,0,0.4069697,2100
0,0,0,0,0,0,0.3972132,1800
0,0,0,1,0,0,0.4474359,971
0,0,0,0,0,0,0.45542264,2800
0,1,0,0,0,0,0.55,718
0,0,0,0,1,0,0.5184149,4500
0,1,0,0,0,0,0.41165584,987
0,0,0,0,0,1,0.18675834,1200
0,1,0,0,0,0,0.31641415,1700
0,0,1,0,0,0,0.33256492,560
0,0,1,0,0,0,0.375,1800
0,0,1,0,0,0,0.24666667,532
0,0,1,0,0,0,0.4009055,2700
0,0,0,0,1,0,0.31343687,1100
0,1,0,0,0,0,0.44,522
0,0,0,0,0,0,0.38666666,1500
0,0,0,0,0,1,0.37429655,5500
1,0,0,0,0,0,0.3875,1200
0,0,1,0,0,0,0.3921717,823
0,0,0,0,0,1,0.4090909,2500
0,0,0,0,1,0,0.38503247,1100
1,0,0,0,0,0,0.28775734,2800
0,0,0,0,0,0,0.38737375,956
0,0,0,0,0,1,0.2953429,508
0,0,1,0,0,0,0.3873077,909
0,1,0,0,0,0,0.42483118,1300
0,0,0,0,0,0,0.43555555,2100
0,0,0,0,1,0,0.3661896,2000
0,0,0,0,0,0,0.3093664,2600
0,0,1,0,0,0,0.31863517,10200
0,0,0,0,0,1,0.27081633,957
1,0,0,0,0,0,0.30395022,1500
0,0,0,0,1,0,0.391533,7400
0,0,0,0,0,0,0.28333333,2000
0,0,0,0,0,0,0.38727272,929
0,1,0,0,0,0,0.29488635,1200
0,0,0,0,1,0,0.5122449,1500
0,0,0,0,1,0,0.45357144,8300
0,0,0,0,0,1,0.32441077,581
0,1,0,0,0,0,0.34020832,4700
0,0,0,1,0,0,0.37224,2100
0,0,0,1,0,0,0.31617966,1300
0,0,0,1,0,0,0.3181818,3900
0,0,1,0,0,0,0.403125,1100
0,0,0,0,0,0,0.35461134,1600
1,0,0,0,0,0,0.3181818,9500
0,0,0,0,1,0,0.33063725,785
0,0,0,1,0,0,0.38694084,5000
0,0,0,0,0,0,0.37678573,527
0,1,0,0,0,0,0,998
0,0,1,0,0,0,0.26965034,1000
0,0,1,0,0,0,0.41590908,1200
0,0,0,0,0,1,0.44180194,2100
0,0,0,0,1,0,0.31492493,1300
0,0,0,0,0,0,0.49871796,2000
0,0,0,0,0,1,0.41034403,1800
0,0,0,1,0,0,0.327405,1700
0,0,0,0,0,0,0.46507937,1500
0,0,1,0,0,0,0.37781385,763
0,0,0,0,0,1,0.22613636,532
0,0,1,0,0,0,0.35393938,942
0,0,1,0,0,0,0.2392256,4800
1,0,0,0,0,0,0.43688017,11800
0,0,0,0,0,1,0.34209102,3400
0,0,0,0,1,0,0,4500
0,0,0,1,0,0,0.31808037,2600
0,1,0,0,0,0,0.31458333,1600
0,0,0,0,0,1,0.35692668,928
0,0,0,0,0,0,0.3462963,921
0,0,0,0,1,0,0.38842976,2700
0,0,1,0,0,0,0.31400433,931
0,1,0,0,0,0,0.435,475
0,0,0,0,0,1,0.37,1200
0,1,0,0,0,0,0.30510488,705
0,0,0,0,0,1,0.19567099,1600
0,0,0,0,1,0,0.393536,1000
1,0,0,0,0,0,0.38508418,1400
0,0,0,1,0,0,0.42992064,2900
0,0,0,0,0,0,0.3115368,1300
0,0,1,0,0,0,0.38323003,2200
0,1,0,0,0,0,0.44673297,3900
0,0,0,0,1,0,0.4444805,1400
0,0,0,0,1,0,0.3278409,4800
0,0,0,0,1,0,0.304329,1200
0,0,0,0,0,1,0.40664142,469
0,1,0,0,0,0,0.40808082,506
0,0,0,1,0,0,0.16666667,3000
0,0,0,0,0,1,0.39166668,2800
0,0,0,0,0,0,0.42666668,460
0,0,0,0,0,0,0.22121212,1700
0,0,0,1,0,0,0.32957515,30200
0,0,0,0,1,0,0.37396902,3100
0,1,0,0,0,0,0.40224358,1200
0,1,0,0,0,0,0.409277,1900
1,0,0,0,0,0,0.3742142,401
0,1,0,0,0,0,0.41233766,4400
1,0,0,0,0,0,0.40624338,1200
0,0,1,0,0,0,0.41266608,2100
0,0,0,0,0,0,0.33102274,6700
0,0,1,0,0,0,0.23717533,1200
0,0,0,0,1,0,0.29958677,3200
0,1,0,0,0,0,0.33518466,3100
0,0,0,0,1,0,0.3349967,769
0,0,0,0,0,0,0.41920635,1400
0,0,0,0,0,0,0.4,3000
0,0,1,0,0,0,0.4060606,4100
0,0,0,0,1,0,0.26176947,1500
1,0,0,0,0,0,0.33714285,1100
0,1,0,0,0,0,0.40431234,1900
0,1,0,0,0,0,0.42447916,969
0,0,0,0,0,0,0.27272728,1200
0,0,0,0,1,0,0.55,3400
0,0,0,0,0,0,0.35445455,5200
0,0,1,0,0,0,0.40576923,1100
1,0,0,0,0,0,0.3278052,1600
0,0,0,0,0,1,0.19108225,531
0,0,0,1,0,0,0.3336088,6300
0,0,0,1,0,0,0.28492063,691
0,0,0,1,0,0,0.41631746,3400
0,0,1,0,0,0,0.27873376,649
1,0,0,0,0,0,0.3248804,853
0,0,0,0,0,1,0.3609845,1500
0,0,1,0,0,0,0.33475378,1300
0,0,0,0,1,0,0.3441919,659
0,0,0,0,1,0,0.36943045,1200
0,0,1,0,0,0,0.3366391,1100
0,0,1,0,0,0,0.31690475,1800
1,0,0,0,0,0,0.43452382,707
0,0,1,0,0,0,0.29506493,1200
0,0,1,0,0,0,0.24741736,1200
1,0,0,0,0,0,0.36478496,935
0,0,0,0,0,1,0.31369048,745
0,0,0,0,0,1,0.34461722,912
0,0,1,0,0,0,0.30757576,1000
0,0,0,0,0,0,0.4888889,1600
0,0,0,0,1,0,0.41127813,2000
0,0,0,0,0,1,0.33782107,2400
0,0,1,0,0,0,0.54,758
0,1,0,0,0,0,0.34873107,412
0,0,0,0,0,0,0.4379487,1200
0,0,0,1,0,0,0.34734848,1200
0,0,1,0,0,0,0.33333334,511
0,0,0,0,0,1,0.45713905,435
0,1,0,0,0,0,0.25757575,1800
0,0,0,0,1,0,0.1,2300
0,1,0,0,0,0,0.30506495,866
0,0,0,0,1,0,0.36151695,3200
0,1,0,0,0,0,0.4077778,2800
0,0,0,0,0,0,0.5392857,340
0,0,0,0,0,1,0.36979166,1000
0,0,0,0,0,1,0.36556277,397
0,1,0,0,0,0,0.38483354,380
0,0,0,0,0,0,0.3950474,1700
0,0,0,0,0,0,0.42733333,1800
0,0,0,0,1,0,0.4642803,2500
0,0,1,0,0,0,0.3597332,1200
0,0,0,0,1,0,0.38148147,6700
0,0,1,0,0,0,0.34846246,1000
0,0,0,1,0,0,0.42222223,825
0,0,0,0,0,0,0,1100
0,0,1,0,0,0,0.23939393,444
0,0,1,0,0,0,0.35238096,1600
1,0,0,0,0,0,0.24966857,7000
0,1,0,0,0,0,0.54375,606
0,0,0,0,0,1,0.28787878,3400
0,1,0,0,0,0,0.2838681,1100
0,0,1,0,0,0,0.35490197,681
0,1,0,0,0,0,0.2589394,1800
0,0,1,0,0,0,0.32611832,4400
0,1,0,0,0,0,0.41218486,4200
1,0,0,0,0,0,0.45603746,2400
0,0,0,0,1,0,0.33314067,2000
0,0,0,0,0,1,0.3106858,3400
0,0,0,1,0,0,0.41580087,2700
0,0,1,0,0,0,0.3875571,3100
0,1,0,0,0,0,0.34236112,1200
0,0,0,0,0,0,0.39988828,1100
0,1,0,0,0,0,0.32165855,1300
0,1,0,0,0,0,0.3501894,655
0,1,0,0,0,0,0.41279763,1600
0,0,0,0,1,0,0.32054147,5100
0,0,0,0,0,0,0.26700336,2000
0,0,0,0,0,0,0.3991775,1600
0,0,0,0,0,0,0.72156864,1800
0,0,0,0,0,0,0.38787878,2100
0,0,1,0,0,0,0.30613053,992
0,0,0,0,0,1,0.32,886
1,0,0,0,0,0,0.5135065,1200
0,0,1,0,0,0,0.5016193,623
0,0,0,0,0,0,0.42130303,963
0,1,0,0,0,0,0.37685096,1900
0,0,0,0,1,0,0.30318916,2000
0,0,0,0,0,1,0.32590908,2500
0,0,0,0,1,0,0.38842976,1100
0,0,0,1,0,0,0.15151516,4200
0,1,0,0,0,0,0.425,644
0,0,0,0,0,1,0.4201389,909
0,0,0,0,0,1,0.35183483,3900
0,0,0,0,1,0,0.34938776,1700
0,1,0,0,0,0,0.44625,3400
0,0,0,0,0,1,0.28837535,912
0,0,0,0,0,1,0.48561507,1200
0,0,0,0,1,0,0.2038961,742
0,0,0,0,0,0,0.35416666,550
0,0,0,1,0,0,0.42410713,2100
0,1,0,0,0,0,0,2100
0,1,0,0,0,0,0.3818089,527
1,0,0,0,0,0,0.6125,9400
0,0,0,0,1,0,0.43644834,1500
1,0,0,0,0,0,0.22323233,1300
0,0,0,0,0,1,0.312987,1200
1,0,0,0,0,0,0.48205128,496
0,0,0,0,0,0,0.426,1700
0,0,0,0,1,0,0.35548514,1200
0,0,0,0,0,0,0.462,527
0,0,0,0,1,0,0.4257576,1800
0,0,0,0,0,1,0.37878788,2500
0,0,0,0,0,0,0.37588453,482
0,1,0,0,0,0,0.37777779,1100
0,0,0,0,1,0,0.37902966,1800
0,1,0,0,0,0,0.30945548,1300
0,0,0,0,0,0,0.5375,823
0,0,0,0,0,1,0.3093667,529
0,0,0,0,0,0,0.3,1300
0,1,0,0,0,0,0,1800
0,0,0,1,0,0,0.25127274,1700
0,0,0,0,0,1,0.42402598,1300
0,0,0,0,0,0,0.24166666,831
1,0,0,0,0,0,0.41785714,3900
0,0,1,0,0,0,0.4904762,1500
0,1,0,0,0,0,0.3348678,1400
0,0,0,0,1,0,0.3968364,1700
0,0,0,0,0,1,0.4240846,1200
1,0,0,0,0,0,0.41370046,4200
0,0,0,1,0,0,0.2137741,1700
0,0,0,0,0,0,0.43814814,1700
0,0,1,0,0,0,0.2508772,2400
0,0,1,0,0,0,0.3690476,1000
0,1,0,0,0,0,0.3438075,1600
0,0,0,0,0,0,0.18409091,2100
0,1,0,0,0,0,0.41875,2200
0,0,0,0,1,0,0.33611813,742
0,0,0,0,0,1,0.5375,4500
0,0,0,0,0,1,0.3447511,2700
0,1,0,0,0,0,0.3253914,1400
0,0,1,0,0,0,0.35,2900
0,0,0,0,0,0,0.32619047,1100
0,1,0,0,0,0,0.25694445,1000
1,0,0,0,0,0,0.3472689,5300
0,0,0,0,0,0,0.4975,18400
0,0,1,0,0,0,0.39511904,855
0,0,0,1,0,0,0.3189394,3400
0,0,0,0,0,1,0.4,643
0,1,0,0,0,0,0.37659365,1300
0,0,1,0,0,0,0.22037037,983
0,0,0,0,1,0,0.41142857,827
0,0,0,0,0,0,0.485,2300
0,0,0,0,0,0,0.61694217,30400
0,0,0,1,0,0,0.37416667,2700
0,0,1,0,0,0,0.30384615,984
0,0,1,0,0,0,0.36471862,989
0,0,1,0,0,0,0.28854167,523
0,1,0,0,0,0,0.38444805,3600
0,0,0,0,1,0,0.39242858,1600
0,0,0,0,0,0,0.45583335,1100
0,0,1,0,0,0,0.25886363,2000
0,0,0,0,0,1,0.26392046,589
0,0,1,0,0,0,0.32227272,1100
0,0,0,0,0,0,0.41354167,6600
0,0,0,0,0,1,0.67202795,790
0,0,0,0,1,0,0.38166666,1500
1,0,0,0,0,0,0.35685858,3600
1,0,0,0,0,0,0.47424242,1300
0,0,0,1,0,0,0.3318182,3500
0,1,0,0,0,0,0.45392993,2100
0,0,0,0,0,1,0.4,3200
0,0,0,0,0,1,0.40311688,4100
0,0,0,0,0,1,0.27454546,4500
1,0,0,0,0,0,0.35469213,5200
0,0,0,0,1,0,0.38418245,10800
0,1,0,0,0,0,0.32268703,898
1,0,0,0,0,0,0.44488096,2600
0,1,0,0,0,0,0.32064393,1400
0,0,0,0,0,0,0.52,3700
0,0,0,0,1,0,0.29235706,851
0,1,0,0,0,0,0.20968615,382
0,0,0,0,1,0,0.41661075,1200
0,0,0,0,1,0,0.35496914,2200
0,0,0,0,0,0,0.31655845,1000
0,0,0,0,0,1,0.39064625,1700
0,0,1,0,0,0,0.3819609,1500
0,0,0,1,0,0,0.260193,2100
0,1,0,0,0,0,0.38746253,720
0,0,0,0,0,0,0.42910713,11900
0,0,0,0,1,0,0.2678788,1100
0,0,0,0,0,1,0.3175,1300
0,0,1,0,0,0,0.37805638,1200
0,0,0,0,0,1,0.33060607,5800
0,0,0,0,0,0,0.30959597,1200
0,1,0,0,0,0,0.3929293,1200
0,0,0,0,0,1,0.41085714,811
0,0,0,0,0,0,0.38809523,463
0,0,1,0,0,0,0.3979021,791
0,1,0,0,0,0,0.33527237,13500
0,0,1,0,0,0,0.3965066,1200
0,1,0,0,0,0,0.43981797,768
0,0,0,0,0,1,0.36040404,717
0,0,1,0,0,0,0.1621212,3400
0,0,0,1,0,0,0.3727178,1800
0,0,1,0,0,0,0.37916666,700
0,0,0,0,0,1,0.12727273,671
0,0,0,0,0,0,0.35,2700
0,0,0,1,0,0,0.34101462,1000
0,0,0,0,0,0,0.49924242,949
0,1,0,0,0,0,0.3119697,1500
0,0,0,0,1,0,0.40520832,2400
0,0,1,0,0,0,0.24817002,843
0,0,1,0,0,0,0.43472221,626
0,0,0,0,0,0,0.29545453,8200
0,0,1,0,0,0,0.27306062,915
1,0,0,0,0,0,0.4125,1100
0,0,0,0,0,0,0.4357188,492
0,0,0,0,0,0,0.3270563,741
0,1,0,0,0,0,0.30974025,538
0,0,0,0,1,0,0.40681818,8100
0,0,1,0,0,0,0.41893938,2200
0,1,0,0,0,0,0.4179259,822
0,0,0,0,1,0,0.296633,1300
1,0,0,0,0,0,0.39512986,596
0,0,0,0,0,0,0.50416666,1300
0,1,0,0,0,0,0.39166668,1700
0,0,1,0,0,0,0.46700338,746
0,0,0,0,0,0,0.631,1000
0,0,1,0,0,0,0.39357144,526
0,0,1,0,0,0,0.44230768,2200
0,0,0,0,1,0,0.13636364,850
0,0,0,0,0,0,0.405,1200
0,0,0,0,1,0,0.4517007,1600
0,0,0,0,1,0,0.31481883,858
0,0,0,0,0,0,0.4317716,10300
0,0,0,0,1,0,0.27165073,477
0,0,0,1,0,0,0.48055556,736
0,1,0,0,0,0,0.37252495,1700
0,0,0,0,1,0,0.33404762,802
0,0,1,0,0,0,0.30712008,889
0,0,0,1,0,0,0.30374005,15400
0,0,1,0,0,0,0.35619566,545
0,0,0,0,0,1,0.2875,1400
0,0,0,1,0,0,0.5555556,1400
0,0,0,0,0,0,0.4047619,1000
0,0,0,0,0,0,0.5,1900
0,0,1,0,0,0,0.48074865,390
0,0,0,1,0,0,0.32769263,2000
0,1,0,0,0,0,0.455,1700
0,0,1,0,0,0,0.2593314,413
0,0,1,0,0,0,0.34318182,1400
0,0,1,0,0,0,0.48762625,840
1,0,0,0,0,0,0.3888889,664
0,0,1,0,0,0,0.4,1400
0,0,1,0,0,0,0.43,639
0,0,1,0,0,0,0.19454545,822
0,0,1,0,0,0,0.4840909,608
0,1,0,0,0,0,0.4377642,2300
0,1,0,0,0,0,0.48396826,520
0,0,0,0,0,1,0.42777777,375
0,0,0,0,0,1,0.525,937
0,0,0,0,0,0,0.43333334,1100
1,0,0,0,0,0,0.4575893,510
0,0,0,0,0,1,0.2021104,1100
0,0,0,1,0,0,0.44727272,4100
0,0,0,1,0,0,0.084848486,1600
0,0,0,0,1,0,0.37666667,1100
0,0,0,0,1,0,0.5008264,1900
0,0,0,0,1,0,0.48366275,755
0,0,0,0,0,0,0.425,764
0,0,0,1,0,0,0.35195938,1400
0,0,0,0,1,0,0.35729167,3600
0,0,0,0,1,0,0.50666666,634
0,0,1,0,0,0,0.37521955,1100
0,0,1,0,0,0,0.34939393,623
0,0,0,0,0,1,0.415,11100
0,0,0,0,0,0,0.65909094,7300
1,0,0,0,0,0,0.29274672,859
0,1,0,0,0,0,0.3954955,13200
0,0,0,0,0,1,0.25,5500
0,0,0,0,0,1,0.1,1400
0,0,0,0,1,0,0.32164502,3300
0,0,0,0,0,1,0.25746435,1000
0,0,0,0,0,1,0.39696595,2400
0,1,0,0,0,0,0.4797138,1500
0,0,0,1,0,0,0.35885975,5500
0,1,0,0,0,0,0.37310606,4000
1,0,0,0,0,0,0.41564345,2400
0,0,0,0,0,1,0.37611112,3400
0,0,0,0,0,1,0.62857145,3400
1,0,0,0,0,0,0.31828886,5800
0,0,1,0,0,0,0.42531386,3000
0,0,0,0,1,0,0.43333334,2100
0,1,0,0,0,0,0.5872727,40400
0,0,0,0,1,0,0.32036296,2600
0,0,0,0,0,1,0.45810276,1200
0,0,0,0,0,0,0.29195198,2100
0,0,1,0,0,0,0.39213324,1800
0,0,0,1,0,0,0.34241107,1400
0,0,0,0,0,0,0.4375,962
0,0,0,0,1,0,0.4315741,1800
0,0,1,0,0,0,0.3,2200
0,0,0,1,0,0,0.35479635,32700
0,0,0,0,1,0,0.31304112,2700
1,0,0,0,0,0,0.58666664,14700
0,0,0,0,1,0,0.3125,2000
0,0,0,0,1,0,0.3272727,1800
0,0,0,1,0,0,0.36073592,972
0,0,0,0,1,0,0.35,2400
0,0,0,0,0,0,0.29393938,1900
0,0,0,0,1,0,0.38392857,42700
0,0,1,0,0,0,0.41868898,1800
1,0,0,0,0,0,0.42277777,5500
0,0,1,0,0,0,0.4089394,1700
0,0,0,1,0,0,0.31628788,3700
0,0,1,0,0,0,0.5,775
0,0,0,0,0,0,0.56363636,2300
0,0,0,1,0,0,0,6100
0,0,0,0,1,0,0.29007214,3500
0,0,0,0,0,0,0.43370765,591
0,0,0,0,1,0,0.3791105,1300
0,0,0,0,1,0,0.23523416,1300
0,0,0,0,1,0,0.2809596,3800
0,0,0,0,0,1,0.41481483,2200
0,0,0,0,1,0,0.37878788,3400
0,0,1,0,0,0,0.3888889,5100
0,0,0,1,0,0,0.39938146,2600
0,0,0,0,1,0,0.446875,1200
0,0,0,0,0,0,0.4365801,705
0,0,0,0,0,0,0.41428572,12500
0,0,1,0,0,0,0.32348484,1900
0,0,1,0,0,0,0.42083332,872
0,1,0,0,0,0,0.33720556,2500
1,0,0,0,0,0,0.44214284,12000
0,0,0,0,0,1,0.35416666,557
0,0,0,0,0,1,0.24025847,1400
0,0,0,0,0,1,0.17575216,1600
0,0,0,0,0,0,0.441342,1500
0,0,0,0,0,0,0.33299577,630
0,0,0,0,1,0,0.34688962,578
0,0,0,0,1,0,0.32662338,1100
0,0,0,0,1,0,0.45333332,756
0,0,0,0,0,0,0.4149279,639
0,1,0,0,0,0,0.32280564,795
0,0,0,0,0,0,0.5095238,939
0,0,0,0,1,0,0.32690167,1400
0,0,1,0,0,0,0.44583333,960
0,0,1,0,0,0,0.3572727,1100
0,0,1,0,0,0,0.33935487,1300
0,1,0,0,0,0,0.35560605,1600
0,0,0,0,1,0,0.375,6400
0,0,1,0,0,0,0.2739807,3600
0,0,0,0,0,0,0.4732143,1900
0,0,0,0,0,0,0.518049,506
0,0,0,0,0,0,0.36962962,1200
0,0,0,0,1,0,0.3118199,3000
0,0,0,0,1,0,0.34727272,642
0,0,1,0,0,0,0.38067377,1100
0,0,0,0,0,0,0.54071426,527
1,0,0,0,0,0,0.37242064,937
0,0,0,0,0,0,0.29227272,606
0,0,0,0,0,0,0.4252451,678
0,0,0,0,0,0,0.5,1700
0,0,0,0,1,0,0.3935572,645
0,1,0,0,0,0,0.48727274,1300
0,0,0,1,0,0,0.2702381,803
0,0,0,0,1,0,0.3012987,939
0,0,0,0,0,0,0.39409015,748
0,0,0,1,0,0,0.42380953,607
0,0,1,0,0,0,0.37422463,1100
0,0,0,0,1,0,0.17175324,511
0,0,0,0,1,0,0.29179356,2500
0,0,0,0,1,0,0.35966668,612
0,0,0,0,1,0,0.3617619,1200
0,0,0,0,0,0,0.3392857,1800
0,0,0,1,0,0,0.625,602
0,0,0,0,1,0,0.37164032,11400
0,0,0,0,0,0,0.47603306,1100
0,0,0,0,1,0,0.47415265,2500
0,0,0,0,1,0,0.21666667,1100
