data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,avg_negative_polarity,shares
0,0,0,0,0,0,-0.43919912,5000
0,1,0,0,0,0,-0.30748558,1200
0,0,0,0,0,0,-0.19527778,3200
1,0,0,0,0,0,-0.36458334,442
0,0,0,0,1,0,-0.35935846,5900
0,0,0,1,0,0,-0.2986111,5400
0,0,0,1,0,0,-0.48125,3800
0,0,0,1,0,0,-0.14166667,5500
0,0,1,0,0,0,0,1900
0,0,0,0,0,1,-0.2611111,463
0,0,0,0,1,0,-0.3,1300
0,0,0,1,0,0,-0.68666667,1200
0,0,0,0,1,0,-0.08571429,17100
0,1,0,0,0,0,-0.23783068,568
1,0,0,0,0,0,-0.16111112,968
0,0,0,0,1,0,-0.17954546,685
0,0,0,0,0,1,-0.25,2000
1,0,0,0,0,0,-0.29282406,902
0,0,0,0,1,0,-0.13472222,1700
0,0,0,0,0,1,-0.1452381,2600
0,0,0,0,0,1,-0.23703703,757
0,0,1,0,0,0,-0.1,1300
0,0,0,0,0,0,-0.31785715,514
0,0,0,0,1,0,-0.14472222,504
0,0,0,0,1,0,-0.2952381,1400
0,0,1,0,0,0,-0.19619048,1500
1,0,0,0,0,0,-0.185,2500
0,0,0,1,0,0,-0.29102182,1200
0,0,0,0,1,0,-0.0875,6400
0,0,0,0,0,1,-0.38636363,1600
0,0,1,0,0,0,0,1300
0,0,1,0,0,0,-0.25,2200
0,0,0,0,1,0,-0.24104808,4100
0,0,0,1,0,0,-0.153125,1500
0,1,0,0,0,0,-0.39145833,3400
0,0,0,0,1,0,-0.28416666,554
0,0,0,0,0,1,-0.4768116,712
0,1,0,0,0,0,-0.25003156,438
0,0,0,1,0,0,-0.2,51900
0,0,1,0,0,0,0,935
0,0,0,0,1,0,-0.1625,3000
0,0,0,0,0,1,-0.30476192,917
1,0,0,0,0,0,-0.15555556,1200
0,0,0,0,0,1,-0.20902778,2100
0,1,0,0,0,0,-0.371875,672
0,0,0,0,0,1,-0.27083334,1100
0,0,0,0,0,0,-0.145,2400
1,0,0,0,0,0,-0.18177083,1300
0,0,0,1,0,0,-0.24609375,2900
0,1,0,0,0,0,-0.31681877,4200
1,0,0,0,0,0,-0.23222223,2000
0,0,0,0,0,0,-0.28637567,715
0,0,0,0,0,0,-0.33333334,1900
0,0,1,0,0,0,-0.20747863,592
0,0,0,0,0,0,-0.28201059,1100
0,0,0,0,1,0,-0.25306123,3500
0,0,0,0,1,0,-0.15,2900
0,0,0,0,1,0,-0.29166666,3400
0,0,1,0,0,0,0,771
0,0,1,0,0,0,-0.39583334,1700
0,1,0,0,0,0,-0.25138888,577
0,0,0,0,1,0,-0.1625,3300
0,0,0,0,1,0,-0.20714286,1300
0,0,0,0,1,0,0,3100
0,0,1,0,0,0,-0.32256943,3600
0,0,0,1,0,0,-0.1532738,1300
0,1,0,0,0,0,-0.22833334,1200
0,0,1,0,0,0,-0.1,2400
0,0,0,0,1,0,0,1500
0,0,1,0,0,0,-0.12928571,721
0,0,0,0,0,1,-0.25075758,1700
0,1,0,0,0,0,-0.40416667,1800
0,0,0,0,0,0,-0.2,930
0,0,0,0,1,0,-0.2125,1500
0,0,0,0,0,0,-0.59819376,1200
0,0,1,0,0,0,-0.18125,2200
0,1,0,0,0,0,-0.35674602,1200
0,0,0,0,0,1,-0.25,7700
0,0,1,0,0,0,-0.23420139,3200
0,0,0,1,0,0,0,4200
0,0,0,0,1,0,-0.228851,1600
0,0,0,0,0,1,-0.16666667,1300
0,0,1,0,0,0,-0.36143792,5700
0,0,1,0,0,0,-0.44444445,2100
0,0,0,0,0,0,-0.7,827
0,0,1,0,0,0,-0.1968254,1100
0,0,0,0,0,1,-0.325,1100
0,0,0,0,0,0,-0.29444444,1000
0,0,0,1,0,0,-0.18680556,1900
0,0,1,0,0,0,-0.22261904,1100
0,0,0,0,1,0,-0.23333333,3700
1,0,0,0,0,0,-0.14166667,2100
0,0,0,0,0,0,-0.4375,1800
0,0,0,1,0,0,-0.155,971
0,0,0,0,0,0,-0.22222222,2800
0,1,0,0,0,0,-0.225,718
0,0,0,0,1,0,-0.525,4500
0,1,0,0,0,0,-0.17708333,987
0,0,0,0,0,1,-0.1125,1200
0,1,0,0,0,0,-0.3,1700
0,0,1,0,0,0,-0.4,560
0,0,1,0,0,0,-0.2,1800
0,0,1,0,0,0,-0.4,532
0,0,1,0,0,0,-0.21823344,2700
0,0,0,0,1,0,-0.21792929,1100
0,1,0,0,0,0,0,522
0,0,0,0,0,0,-0.2,1500
0,0,0,0,0,1,-0.26060605,5500
1,0,0,0,0,0,-0.175,1200
0,0,1,0,0,0,0,823
0,0,0,0,0,1,-0.275,2500
0,0,0,0,1,0,-0.16316138,1100
1,0,0,0,0,0,-0.23154762,2800
0,0,0,0,0,0,-0.375,956
0,0,0,0,0,1,-0.13333334,508
0,0,1,0,0,0,-0.23944445,909
0,1,0,0,0,0,-0.24453463,1300
0,0,0,0,0,0,-0.21666667,2100
0,0,0,0,1,0,-0.21593915,2000
0,0,0,0,0,0,-0.375,2600
0,0,1,0,0,0,-0.2509838,10200
0,0,0,0,0,1,-0.22525252,957
1,0,0,0,0,0,0,1500
0,0,0,0,1,0,-0.14768519,7400
0,0,0,0,0,0,-0.4,2000
0,0,0,0,0,0,-0.2962963,929
0,1,0,0,0,0,-0.2,1200
0,0,0,0,1,0,-0.2125,1500
0,0,0,0,1,0,-0.31944445,8300
0,0,0,0,0,1,-0.3489899,581
0,1,0,0,0,0,-0.3013889,4700
0,0,0,1,0,0,-0.31666666,2100
0,0,0,1,0,0,-0.24791667,1300
0,0,0,1,0,0,-0.1875,3900
0,0,1,0,0,0,-0.225,1100
0,0,0,0,0,0,-0.21071428,1600
1,0,0,0,0,0,-0.41166666,9500
0,0,0,0,1,0,-0.2625,785
0,0,0,1,0,0,-0.26488096,5000
0,0,0,0,0,0,-0.1,527
0,1,0,0,0,0,-0.36666667,998
0,0,1,0,0,0,-0.26018518,1000
0,0,1,0,0,0,-0.32333332,1200
0,0,0,0,0,1,-0.21129629,2100
0,0,0,0,1,0,-0.15601853,1300
0,0,0,0,0,0,-0.7222222,2000
0,0,0,0,0,1,-0.1625,1800
0,0,0,1,0,0,-0.36602563,1700
0,0,0,0,0,0,-0.25833333,1500
0,0,1,0,0,0,-0.2750926,763
0,0,0,0,0,1,-0.30416667,532
0,0,1,0,0,0,-0.12083333,942
0,0,1,0,0,0,-0.4,4800
1,0,0,0,0,0,-0.19722222,11800
0,0,0,0,0,1,-0.2606227,3400
0,0,0,0,1,0,0,4500
0,0,0,1,0,0,-0.25154322,2600
0,1,0,0,0,0,-0.29166666,1600
0,0,0,0,0,1,-0.29530424,928
0,0,0,0,0,0,-0.26203704,921
0,0,0,0,1,0,0,2700
0,0,1,0,0,0,-0.17870371,931
0,1,0,0,0,0,-0.114285715,475
0,0,0,0,0,1,-0.35625,1200
0,1,0,0,0,0,-0.23428571,705
0,0,0,0,0,1,-0.45,1600
0,0,0,0,1,0,-0.31891024,1000
1,0,0,0,0,0,-0.3598485,1400
0,0,0,1,0,0,-0.23778345,2900
0,0,0,0,0,0,-0.26858237,1300
0,0,1,0,0,0,-0.36319444,2200
0,1,0,0,0,0,-0.20416667,3900
0,0,0,0,1,0,-0.14166667,1400
0,0,0,0,1,0,-0.23988095,4800
0,0,0,0,1,0,-0.14,1200
0,0,0,0,0,1,-0.18,469
0,1,0,0,0,0,-0.23402777,506
0,0,0,1,0,0,-0.375,3000
0,0,0,0,0,1,-0.07685185,2800
0,0,0,0,0,0,-0.25,460
0,0,0,0,0,0,-0.39404762,1700
0,0,0,1,0,0,-0.24387255,30200
0,0,0,0,1,0,-0.31141305,3100
0,1,0,0,0,0,-0.35,1200
0,1,0,0,0,0,-0.2858105,1900
1,0,0,0,0,0,-0.3406682,401
0,1,0,0,0,0,-0.32806122,4400
1,0,0,0,0,0,-0.24972223,1200
0,0,1,0,0,0,-0.35192308,2100
0,0,0,0,0,0,-0.35046297,6700
0,0,1,0,0,0,-0.13148148,1200
0,0,0,0,1,0,-0.5,3200
0,1,0,0,0,0,-0.34097221,3100
0,0,0,0,1,0,-0.18174604,769
0,0,0,0,0,0,-0.48666668,1400
0,0,0,0,0,0,0,3000
0,0,1,0,0,0,0,4100
0,0,0,0,1,0,-0.16388889,1500
1,0,0,0,0,0,-0.090277776,1100
0,1,0,0,0,0,-0.108333334,1900
0,1,0,0,0,0,-0.33958334,969
0,0,0,0,0,0,-0.3,1200
0,0,0,0,1,0,-0.125,3400
0,0,0,0,0,0,-0.2963889,5200
0,0,1,0,0,0,-0.23214285,1100
1,0,0,0,0,0,-0.11269841,1600
0,0,0,0,0,1,-0.35396826,531
0,0,0,1,0,0,-0.15,6300
0,0,0,1,0,0,-0.1297619,691
0,0,0,1,0,0,-0.16684473,3400
0,0,1,0,0,0,-0.4,649
1,0,0,0,0,0,-0.41111112,853
0,0,0,0,0,1,-0.19444445,1500
0,0,1,0,0,0,-0.23339947,1300
0,0,0,0,1,0,-0.060714286,659
0,0,0,0,1,0,-0.29319048,1200
0,0,1,0,0,0,-0.1,1100
0,0,1,0,0,0,-0.34944445,1800
1,0,0,0,0,0,-0.16111112,707
0,0,1,0,0,0,-0.22462963,1200
0,0,1,0,0,0,-0.14642857,1200
1,0,0,0,0,0,-0.33002138,935
0,0,0,0,0,1,-0.33095238,745
0,0,0,0,0,1,-0.37638888,912
0,0,1,0,0,0,-0.16041666,1000
0,0,0,0,0,0,-0.334375,1600
0,0,0,0,1,0,-0.2563554,2000
0,0,0,0,0,1,-0.22037037,2400
0,0,1,0,0,0,-0.1625,758
0,1,0,0,0,0,-0.4283482,412
0,0,0,0,0,0,-0.3125,1200
0,0,0,1,0,0,-0.4,1200
0,0,1,0,0,0,0,511
0,0,0,0,0,1,-0.20454545,435
0,1,0,0,0,0,-0.2,1800
0,0,0,0,1,0,0,2300
0,1,0,0,0,0,-0.20625,866
0,0,0,0,1,0,-0.24642856,3200
0,1,0,0,0,0,-0.26833335,2800
0,0,0,0,0,0,-0.1125,340
0,0,0,0,0,1,-0.40833333,1000
0,0,0,0,0,1,-0.26742426,397
0,1,0,0,0,0,-0.33944446,380
0,0,0,0,0,0,-0.43660715,1700
0,0,0,0,0,0,-0.30397436,1800
0,0,0,0,1,0,-0.1625,2500
0,0,1,0,0,0,-0.32232141,1200
0,0,0,0,1,0,-0.525,6700
0,0,1,0,0,0,-0.2765432,1000
0,0,0,1,0,0,-0.28030303,825
0,0,0,0,0,0,0,1100
0,0,1,0,0,0,0,444
0,0,1,0,0,0,-0.18333334,1600
1,0,0,0,0,0,-0.28333333,7000
0,1,0,0,0,0,-0.2777778,606
0,0,0,0,0,1,-0.46666667,3400
0,1,0,0,0,0,-0.35892856,1100
0,0,1,0,0,0,-0.19629629,681
0,1,0,0,0,0,-0.16666667,1800
0,0,1,0,0,0,-0.28333333,4400
0,1,0,0,0,0,-0.27986112,4200
1,0,0,0,0,0,-0.22883599,2400
0,0,0,0,1,0,-0.21460728,2000
0,0,0,0,0,1,-0.18996914,3400
0,0,0,1,0,0,-0.5222222,2700
0,0,1,0,0,0,-0.2452505,3100
0,1,0,0,0,0,-0.19940476,1200
0,0,0,0,0,0,-0.35479498,1100
0,1,0,0,0,0,-0.4,1300
0,1,0,0,0,0,-0.23571429,655
0,1,0,0,0,0,-0.20539683,1600
0,0,0,0,1,0,-0.243125,5100
0,0,0,0,0,0,-0.125,2000
0,0,0,0,0,0,-0.6,1600
0,0,0,0,0,0,-0.35,1800
0,0,0,0,0,0,-0.42108843,2100
0,0,1,0,0,0,-0.285,992
0,0,0,0,0,1,-0.14,886
1,0,0,0,0,0,-0.33042717,1200
0,0,1,0,0,0,-0.24242423,623
0,0,0,0,0,0,-0.3396875,963
0,1,0,0,0,0,-0.34460917,1900
0,0,0,0,1,0,-0.32619047,2000
0,0,0,0,0,1,-0.19128788,2500
0,0,0,0,1,0,-0.16583334,1100
0,0,0,1,0,0,-0.2125,4200
0,1,0,0,0,0,-0.30416667,644
0,0,0,0,0,1,-0.27685186,909
0,0,0,0,0,1,-0.23295431,3900
0,0,0,0,1,0,-0.3,1700
0,1,0,0,0,0,-0.23257576,3400
0,0,0,0,0,1,-0.3625,912
0,0,0,0,0,1,-0.30625,1200
0,0,0,0,1,0,-0.12083333,742
0,0,0,0,0,0,-0.1875,550
0,0,0,1,0,0,-0.2892361,2100
0,1,0,0,0,0,0,2100
0,1,0,0,0,0,-0.38067228,527
1,0,0,0,0,0,-0.17261904,9400
0,0,0,0,1,0,-0.2716583,1500
1,0,0,0,0,0,0,1300
0,0,0,0,0,1,-0.21845238,1200
1,0,0,0,0,0,-0.25,496
0,0,0,0,0,0,-0.31440476,1700
0,0,0,0,1,0,-0.22258455,1200
0,0,0,0,0,0,-0.40026456,527
0,0,0,0,1,0,-0.5,1800
0,0,0,0,0,1,-0.7,2500
0,0,0,0,0,0,-0.36011904,482
0,1,0,0,0,0,-0.14693877,1100
0,0,0,0,1,0,-0.20493263,1800
0,1,0,0,0,0,-0.15,1300
0,0,0,0,0,0,-0.6125,823
0,0,0,0,0,1,-0.17130953,529
0,0,0,0,0,0,-0.40694445,1300
0,1,0,0,0,0,0,1800
0,0,0,1,0,0,-0.2825,1700
0,0,0,0,0,1,-0.175,1300
0,0,0,0,0,0,-0.17833333,831
1,0,0,0,0,0,-0.19814815,3900
0,0,1,0,0,0,-0.159375,1500
0,1,0,0,0,0,-0.325,1400
0,0,0,0,1,0,-0.22322531,1700
0,0,0,0,0,1,-0.26076388,1200
1,0,0,0,0,0,-0.39907408,4200
0,0,0,1,0,0,0,1700
0,0,0,0,0,0,-0.2992262,1700
0,0,1,0,0,0,-0.23208334,2400
0,0,1,0,0,0,0,1000
0,1,0,0,0,0,-0.17168367,1600
0,0,0,0,0,0,-0.2875,2100
0,1,0,0,0,0,-0.21875,2200
0,0,0,0,1,0,-0.188733,742
0,0,0,0,0,1,-0.09166667,4500
0,0,0,0,0,1,-0.25267857,2700
0,1,0,0,0,0,-0.2559524,1400
0,0,1,0,0,0,-0.15,2900
0,0,0,0,0,0,0,1100
0,1,0,0,0,0,-0.38020834,1000
1,0,0,0,0,0,-0.305,5300
0,0,0,0,0,0,-0.33125,18400
0,0,1,0,0,0,-0.16666667,855
0,0,0,1,0,0,-0.22333333,3400
0,0,0,0,0,1,-0.42962962,643
0,1,0,0,0,0,-0.33947244,1300
0,0,1,0,0,0,-0.125,983
0,0,0,0,1,0,-0.16333333,827
0,0,0,0,0,0,-0.31935897,2300
0,0,0,0,0,0,-0.14801587,30400
0,0,0,1,0,0,-0.12599206,2700
0,0,1,0,0,0,-0.0875,984
0,0,1,0,0,0,-0.14027777,989
0,0,1,0,0,0,-0.16666667,523
0,1,0,0,0,0,-0.2324074,3600
0,0,0,0,1,0,-0.375,1600
0,0,0,0,0,0,-0.3145513,1100
0,0,1,0,0,0,-0.21309523,2000
0,0,0,0,0,1,-0.28690475,589
0,0,1,0,0,0,0,1100
0,0,0,0,0,0,-0.33214286,6600
0,0,0,0,0,1,-0.47936508,790
0,0,0,0,1,0,-0.121875,1500
1,0,0,0,0,0,-0.16083333,3600
1,0,0,0,0,0,-0.26759258,1300
0,0,0,1,0,0,-0.3,3500
0,1,0,0,0,0,-0.28838384,2100
0,0,0,0,0,1,-0.10625,3200
0,0,0,0,0,1,-0.31944445,4100
0,0,0,0,0,1,-0.23333333,4500
1,0,0,0,0,0,-0.18222222,5200
0,0,0,0,1,0,-0.21527778,10800
0,1,0,0,0,0,-0.19349416,898
1,0,0,0,0,0,-0.30992064,2600
0,1,0,0,0,0,-0.19042398,1400
0,0,0,0,0,0,-0.16607143,3700
0,0,0,0,1,0,-0.24087301,851
0,1,0,0,0,0,-0.175,382
0,0,0,0,1,0,-0.27146056,1200
0,0,0,0,1,0,-0.20543431,2200
0,0,0,0,0,0,-0.18518518,1000
0,0,0,0,0,1,-0.4875,1700
0,0,1,0,0,0,-0.22890212,1500
0,0,0,1,0,0,-0.30182073,2100
0,1,0,0,0,0,-0.2425,720
0,0,0,0,0,0,-0.30952382,11900
0,0,0,0,1,0,-0.19960317,1100
0,0,0,0,0,1,-0.14801587,1300
0,0,1,0,0,0,-0.2,1200
0,0,0,0,0,1,-0.125,5800
0,0,0,0,0,0,-0.32371032,1200
0,1,0,0,0,0,-0.16666667,1200
0,0,0,0,0,1,-0.2361111,811
0,0,0,0,0,0,-0.4,463
0,0,1,0,0,0,-0.2375,791
0,1,0,0,0,0,-0.2642857,13500
0,0,1,0,0,0,-0.24112812,1200
0,1,0,0,0,0,-0.31704545,768
0,0,0,0,0,1,-0.27888888,717
0,0,1,0,0,0,-0.15,3400
0,0,0,1,0,0,-0.18921569,1800
0,0,1,0,0,0,-0.18333334,700
0,0,0,0,0,1,-0.35,671
0,0,0,0,0,0,-0.15555556,2700
0,0,0,1,0,0,-0.48840812,1000
0,0,0,0,0,0,-0.4,949
0,1,0,0,0,0,-0.1390873,1500
0,0,0,0,1,0,-0.24761905,2400
0,0,1,0,0,0,-0.5,843
0,0,1,0,0,0,-0.14630952,626
0,0,0,0,0,0,-0.53125,8200
0,0,1,0,0,0,-0.175,915
1,0,0,0,0,0,-0.25277779,1100
0,0,0,0,0,0,-0.43294358,492
0,0,0,0,0,0,-0.3196098,741
0,1,0,0,0,0,-0.1625,538
0,0,0,0,1,0,-0.33333334,8100
0,0,1,0,0,0,-0.2550926,2200
0,1,0,0,0,0,-0.38737375,822
0,0,0,0,1,0,-0.228125,1300
1,0,0,0,0,0,-0.3002551,596
0,0,0,0,0,0,-0.37619048,1300
0,1,0,0,0,0,-0.271875,1700
0,0,1,0,0,0,-0.35,746
0,0,0,0,0,0,-0.36805555,1000
0,0,1,0,0,0,-0.125,526
0,0,1,0,0,0,-0.23333333,2200
0,0,0,0,1,0,0,850
0,0,0,0,0,0,-0.15555556,1200
0,0,0,0,1,0,-0.22503307,1600
0,0,0,0,1,0,-0.19691359,858
0,0,0,0,0,0,-0.24090908,10300
0,0,0,0,1,0,-0.225,477
0,0,0,1,0,0,-0.2,736
0,1,0,0,0,0,-0.21681547,1700
0,0,0,0,1,0,-0.2638889,802
0,0,1,0,0,0,-0.196875,889
0,0,0,1,0,0,-0.22964285,15400
0,0,1,0,0,0,-0.24469697,545
0,0,0,0,0,1,0,1400
0,0,0,1,0,0,-0.3625,1400
0,0,0,0,0,0,-0.20357142,1000
0,0,0,0,0,0,-0.13348214,1900
0,0,1,0,0,0,-0.2462963,390
0,0,0,1,0,0,-0.35,2000
0,1,0,0,0,0,-0.1,1700
0,0,1,0,0,0,-0.3125,413
0,0,1,0,0,0,-0.19166666,1400
0,0,1,0,0,0,-0.15,840
1,0,0,0,0,0,-0.2951389,664
0,0,1,0,0,0,-0.15833333,1400
0,0,1,0,0,0,-0.2625,639
0,0,1,0,0,0,-0.3,822
0,0,1,0,0,0,-0.365,608
0,1,0,0,0,0,-0.28777778,2300
0,1,0,0,0,0,-0.42254272,520
0,0,0,0,0,1,0,375
0,0,0,0,0,1,-0.1125,937
0,0,0,0,0,0,-0.43571427,1100
1,0,0,0,0,0,-0.28125,510
0,0,0,0,0,1,0,1100
0,0,0,1,0,0,-0.14166667,4100
0,0,0,1,0,0,-0.22777778,1600
0,0,0,0,1,0,0,1100
0,0,0,0,1,0,-0.28333333,1900
0,0,0,0,1,0,-0.22701058,755
0,0,0,0,0,0,-0.71428573,764
0,0,0,1,0,0,-0.3530853,1400
0,0,0,0,1,0,-0.125,3600
0,0,0,0,1,0,-0.22833334,634
0,0,1,0,0,0,-0.3892857,1100
0,0,1,0,0,0,-0.275,623
0,0,0,0,0,1,-0.175,11100
0,0,0,0,0,0,-0.571875,7300
1,0,0,0,0,0,-0.27552083,859
0,1,0,0,0,0,-0.34018287,13200
0,0,0,0,0,1,-0.21458334,5500
0,0,0,0,0,1,-0.26666668,1400
0,0,0,0,1,0,-0.19375,3300
0,0,0,0,0,1,-0.39639917,1000
0,0,0,0,0,1,-0.2400641,2400
0,1,0,0,0,0,-0.32708332,1500
0,0,0,1,0,0,-0.2958916,5500
0,1,0,0,0,0,-0.25583333,4000
1,0,0,0,0,0,-0.5,2400
0,0,0,0,0,1,-0.5,3400
0,0,0,0,0,1,-0.09821428,3400
1,0,0,0,0,0,-0.24027778,5800
0,0,1,0,0,0,-0.24194445,3000
0,0,0,0,1,0,-0.55,2100
0,1,0,0,0,0,-0.35,40400
0,0,0,0,1,0,-0.28356332,2600
0,0,0,0,0,1,-0.15555556,1200
0,0,0,0,0,0,-0.14583333,2100
0,0,1,0,0,0,-0.14054233,1800
0,0,0,1,0,0,-0.25998542,1400
0,0,0,0,0,0,-0.22,962
0,0,0,0,1,0,-0.14708333,1800
0,0,1,0,0,0,0,2200
0,0,0,1,0,0,-0.35318628,32700
0,0,0,0,1,0,-0.20223214,2700
1,0,0,0,0,0,-0.459375,14700
0,0,0,0,1,0,0,2000
0,0,0,0,1,0,-0.4,1800
0,0,0,1,0,0,-0.29189816,972
0,0,0,0,1,0,-0.25,2400
0,0,0,0,0,0,-0.2,1900
0,0,0,0,1,0,-0.225,42700
0,0,1,0,0,0,-0.18366402,1800
1,0,0,0,0,0,-0.23055555,5500
0,0,1,0,0,0,-0.15,1700
0,0,0,1,0,0,-0.2559524,3700
0,0,1,0,0,0,-0.110416666,775
0,0,0,0,0,0,-0.334375,2300
0,0,0,1,0,0,-0.2,6100
0,0,0,0,1,0,-0.21833333,3500
0,0,0,0,0,0,-0.29694444,591
0,0,0,0,1,0,-0.2654321,1300
0,0,0,0,1,0,-0.6,1300
0,0,0,0,1,0,-0.24444444,3800
0,0,0,0,0,1,-0.44166666,2200
0,0,0,0,1,0,-0.2,3400
0,0,1,0,0,0,-0.475,5100
0,0,0,1,0,0,-0.34259462,2600
0,0,0,0,1,0,-0.41666666,1200
0,0,0,0,0,0,-0.125,705
0,0,0,0,0,0,-0.22,12500
0,0,1,0,0,0,-0.225,1900
0,0,1,0,0,0,-0.5,872
0,1,0,0,0,0,-0.32470238,2500
1,0,0,0,0,0,-0.090277776,12000
0,0,0,0,0,1,-0.23888889,557
0,0,0,0,0,1,-0.16064815,1400
0,0,0,0,0,1,-0.08571429,1600
0,0,0,0,0,0,-0.3535494,1500
0,0,0,0,0,0,-0.3,630
0,0,0,0,1,0,-0.221875,578
0,0,0,0,1,0,-0.11388889,1100
0,0,0,0,1,0,-0.13055556,756
0,0,0,0,0,0,-0.43169913,639
0,1,0,0,0,0,-0.36527777,795
0,0,0,0,0,0,-0.4,939
0,0,0,0,1,0,-0.17242064,1400
0,0,1,0,0,0,-0.25,960
0,0,1,0,0,0,-0.5388889,1100
0,0,1,0,0,0,-0.23809524,1300
0,1,0,0,0,0,-0.3265625,1600
0,0,0,0,1,0,-0.19166666,6400
0,0,1,0,0,0,-0.38333333,3600
0,0,0,0,0,0,-0.40166667,1900
0,0,0,0,0,0,-0.51111114,506
0,0,0,0,0,0,-0.13333334,1200
0,0,0,0,1,0,-0.25083616,3000
0,0,0,0,1,0,-0.26770833,642
0,0,1,0,0,0,-0.28333333,1100
0,0,0,0,0,0,-0.05,527
1,0,0,0,0,0,-0.18333334,937
0,0,0,0,0,0,0,606
0,0,0,0,0,0,-0.33442983,678
0,0,0,0,0,0,-0.40625,1700
0,0,0,0,1,0,-0.17152777,645
